often (2 words)|a menudo
the souvenir; the memory|el recuerdo
the remains|los restos
the noise|el ruido
however (2 words)|sin embargo
to go up|subir
the workshop|el taller
the theme|el tema
the trend|la tendencia
the shop|la tienda
to throw|tirar
last (masculine)|último
last (feminine)|última
the outskirts|las afueras
old (starts with a) (masculine)|antiguo
old (starts with a) (feminine)|antigua
the tree|el árbol
the countryside, field, ground|el campo
the bungalow, detached house, villa|el chalet (also chalé)
the coast|la costa
the shelf|el estante
to find (starts with e)|encontrar
to be situated; meet up (reflexive)|encontrarse
to meet up with (reflexive)|encontrarse con
the farm (starts with g)|la granja
to keep, to put away, to save (starts with g)|guardar
the bookcase, bookshelf|la librería
the mountain|la montaña
the piece of furniture|el mueble
worse, worst|peor
the flat, floor (of a building)|el piso
under, downstairs|abajo
spacious, roomy (masculine)|amplio
spacious, roomy (feminine)|amplia
above, upstairs, up|arriba
the balcony|el balcón
the heating|la calefacción
the fitted kitchen|la cocina amueblada
the dining room|el comedor
the business, shop (starts with c, masculine noun)|el comercio
essential, indispensable (adjective ends in e)|imprescindible
lower|inferior
the garden|el jardín
luxurious (masculine)|lujoso
luxurious (feminine)|lujosa
the pet|la mascota
the swimming pool|la piscina
the floor (of a building), plant|la planta
the ground floor|la planta baja
upper, higher (adjective ends in r)|superior
the shop|la tienda
the tower, tower block|la torre
the view, sight|la vista
the avenue (starts with "av")|la avenida
the town hall|el ayuntamiento
welcome (said to a man)|bienvenido
welcome (said to a woman)|bienvenida
the shopping centre|el centro comercial
the city, large town|la ciudad
the youth club|el club de jóvenes
the post office|las correos
to build (starts with c)|construir
to become (starts with c, has "en" after the verb)|convertirse en (+ noun)
the green spaces|los espacios verdes
the factory|la fábrica
to found|fundar
inhabitant (noun ends in e) (male)|el habitante
inhabitant (noun ends in e) (female)|la habitante
the church|la iglesia
to go shopping (uses "ir")|ir de compras
the country|el país
the square (in a town)|la plaza
the sports centre|el polideportivo
the (small) town, willage, people|el pueblo
the bridge|el puente
the century|el siglo
the theatre|el teatro
isolated (masculine)|aislado
isolated (feminine)|aislada
friendly (masculine)|amistoso
friendly (feminine)|amistosa
lively (masculine)|animado
lively (feminine)|animada
the woods, forest|el bosque
the pollution (starts with c)|la contaminación
to look after, to take care of (starts with "cu")|cuidar
unemployed|en paro
the estate, (large) farm (starts with f)|la finca
the flower|la flor
the wildlife|la flora y fauna
... ago|hace (+ expression of time)
the oil industry|la industria petrolera
the drawback, inconvenience|el inconveniente
the lake|el lago
the place, spot|el lugar
the poverty, hardship|la miseria
to move house (reflexive)|mudarse de casa
the poverty|la pobreza
therefore (3 words)|por lo tanto
damaging|perjudicial
the nightclub|la sala de fiestas
the mountain range|la sierra
